ISO_A2,University,Count,Country
AE,"Rochester Institute of Technology, Dubai",36,United Arab Emirates
AE,"Skyline University College, Sharjah",36,United Arab Emirates
AE,"Synergy University, Dubai Campus",36,United Arab Emirates
AE,The Emirates Academy of Hotel Managment,36,United Arab Emirates
AE,The Petroleum Institute,36,United Arab Emirates
AE,United Arab Emirates University,36,United Arab Emirates
AE,University Of Dubai,36,United Arab Emirates
AE,University of Jazeera,36,United Arab Emirates
AE,University of Sharjah,36,United Arab Emirates
AE,University of Wollongong - Dubai Campus,36,United Arab Emirates
AE,Zayed University,36,United Arab Emirates
UA,Alfred Nobel University of Economics and Law ,76,Ukraine
UA,Bila Cerkva State Agrarian University,76,Ukraine
UA,Chernivci National University,76,Ukraine
UA,Crimea State Medical University,76,Ukraine
UA,Dneprodzerzhinsk State Technical University,76,Ukraine
UA,Dnepropetrovsk National University,76,Ukraine
UA,Dnepropetrovsk National University of Railway Transport,76,Ukraine
UA,Donetsk National Technical University,76,Ukraine
UA,Donetsk National University,76,Ukraine
UA,Donetsk State Medical University,76,Ukraine
UA,East Ukrainian National University,76,Ukraine
UA,Ivano-Frankivsk National University of Oli and Gas,76,Ukraine
UA,Kharkiv National University,76,Ukraine
UA,Kharkiv National University of Economics,76,Ukraine
UA,Kharkiv National University of Radio Electronics,76,Ukraine
UA,Kharkiv State Medical University,76,Ukraine
UA,Kharkiv State Technical University of Construction and Architecture,76,Ukraine
UA,Kharkiv State Transport Technical University,76,Ukraine
UA,Kherson State University,76,Ukraine
UA,Khmelnitsky National University,76,Ukraine
UA,Kiev National Economic University Named after Vadym Hetman,76,Ukraine
UA,Kiev National University of Construction and Architecture,76,Ukraine
UA,Kiev School Of Economics,76,Ukraine
UA,Kiev Slavonic University,76,Ukraine
UA,KROK Economics and Law University,76,Ukraine
UA,Luhansk State Medical University,76,Ukraine
UA,Luhansk Taras Shevchenko National Pedagogical University,76,Ukraine
UA,Lviv Medical University,76,Ukraine
UA,Lviv National Medical Univeristy,76,Ukraine
UA,Lviv National University Ivan Franko,76,Ukraine
UA,Lviv Polytechnic National University,76,Ukraine
UA,National Aerospace University Kharkov Aviation Institute,76,Ukraine
UA,National Agricultural University,76,Ukraine
UA,National Aviation Univesity,76,Ukraine
UA,National Medical University O.O. Bogomolets,76,Ukraine
UA,National Metallurgical Academy of Ukraine,76,Ukraine
UA,National Mining University,76,Ukraine
UA,National Pedagogical University M. Dragomanov ,76,Ukraine
UA,National Pirogov Memorial Medical University,76,Ukraine
